Car_ID,Service_Type,Service_Date,Service_Cost,Service_Center
c1112 ,oiL chanGE , 18 mAr 2023, 01/01/1970 , fastfiX
C1113 , OIL cHANge,29 aUG 2022, 01-01-1970,  sPeEd GARAge 
c1114  ,BrAke SeRvicE ,02/10/2020,1970-01-01 , mEchANIx
 c1115 ,OiL cHAnGE,"dec 06, 2021"," jaN 01, 1970", PitstOP 
 c1116,BATTerY RepLACEMeNt  ,2020/12/21,01 jAN 1970 ,  fAStfix
 c1117, BrakE seRViCE , 2023-14-01,01 jAn 1970,faStFIX
 c1118 ,BRakE seRviCe,12-31-2021," JAn 01, 1970 ", pitstoP
c1119 ,BATtERY rEPLAcement, 17/12/2021 , 01-01-1970,AUtoCARe
 c1120,tyre CHaNGe , 11 Sep 2021,1970/01/01,FAsTfIx 
 c1121 , bATtERy rEplACEMEnt ,06-05-2023,01-01-1970 , FasTfIX
c1122  , eNGiNE rEPaIr,08-17-2023 ,1970/01/01 , FASTFIx
C1123  ,  Brake SErvIce,11-11-2022 ,1970/01/01, auToCArE 
 C1124,baTterY REpLaCemENT ," NoV 15, 2022","jaN 01, 1970",meCHanIX  
 C1125,engInE rePAIR,2021/07/24 ,01/01/1970,piTstoP 
c1126,tyrE changE,2020-14-12 ,01 jAn 1970, CarZ
  C1127,eNGiNE repair ,15 aug 2022,01/01/1970 ,spEEd gaRAgE
 C1128  , ENgiNe REpaIr , 2023/10/21,1970/01/01 , aUTocArE
 C1129 ,fuLL ServIce,16 AUG 2020 ,01/01/1970,carz
C1130 ,brAkE SeRViCE,24/11/2021 ,01 jan 1970, sPEeD gARaGe
c1131,fULL SErVIce ,2022/03/22,01-01-1970 ,pitsTop
C1132, oil chaNgE  ,24/08/2020,01/01/1970,SpEED GAraGe 
 c1133,full seRviCe  , 10-17-2020 ,"jAN 01, 1970",fasTFIx  
c1134, bATTeRy replACemENT ,17 DEC 2022,01-01-1970 ,  AutOcARE
C1135 ,EnGInE rEpAIr,08-26-2020," jaN 01, 1970", CarZ 
 c1136,brAKe SERvICe,01/11/2023,01-01-1970,MEChanix 
c1137  ,bRAkE service , 27/12/2021,1970-01-01, FaSTFix  
c1138 ,OIL ChANGe, 02 Jun 2023,"JAN 01, 1970", cArZ 
c1139 ,ENGINE rEPaIr ,09/03/2023, 01-01-1970 , PitsTOp 
C1140, eNgInE rEpAir ,2020-12-02, 01 jAn 1970,sPeEd garaGe 
 C1141 ,fUll SERViCe,2023/07/30,01-01-1970,AutOCArE 
  c1142,tYRE CHANGE,11-19-2021,1970/01/01,CArZ
c1143 , EngINE REpair,2023-06-09,"jAn 01, 1970", autocARE
  C1144,fUlL sErViCe ,29/02/2020,01/01/1970,fAStFIX 
 c1145 ,TYre chAnge," Aug 05, 2020",01-01-1970 , caRZ
c1146 ,BrAkE sERvICE,2020-02-02,"jAN 01, 1970 ",AUtoCaRe 
C1147 ,BrakE SErvicE,"auG 31, 2020 ", 01/01/1970 , MEChanIx 
 c1148, batTeRy repLacEmeNT ,12-29-2023,01/01/1970, meCHaNIX 
 c1149 ,  TYRE chANGE," fEb 26, 2023 ",01 jaN 1970,fAstFiX
 C1150,eNGine RepAIR ,2021/12/31,01/01/1970, FAsTfIX 
 c1151, bRakE SErVice,"juN 05, 2022",1970-01-01, MeChaNIx 
 C1152 ,  BRAKe SErViCE ,2020/06/03,1970-01-01 , aUTOCAre
C1153 ,FUll sErvIce , 2022-18-03,"JAn 01, 1970", FAStfix 
 c1154, FulL serviCe,01-06-2020 ,"Jan 01, 1970", PitsToP 
c1155,oil chanGe ,"jUn 21, 2023","Jan 01, 1970",  PiTstop
C1156  , bATTeRY rEpLACEmENt,2020/12/17,1970/01/01 ,MecHANiX
C1157, TyRe CHANge,2021-04-08,1970/01/01,  aUToCARE 
c1158 , BaTteRY rEplaCemenT ,20 APR 2020,01 jaN 1970,meCHAnIx 
 c1159, BRAKe servIce ,03-01-2021 , 1970-01-01, PiTsTOp
C1160  , eNGiNe rEPair , 2022-21-12,"JAN 01, 1970", CarZ 
 C1161 ,EnGINe REpAIR ,2020-18-09 , 1970-01-01 , FastFIX 
  c1162, bRAKE servICe ,06-19-2023,01/01/1970,autOcaRe
 C1163 , OIL changE, 01-14-2020 ,01-01-1970,  meChanIX 
 C1164 ,FULl ServicE,03/07/2020,1970-01-01 , AUtocare
 C1165,EnGINe rEpAIr ,2021/02/08 ,1970-01-01,pItStOP
 C1166, oil chANGE, 2022/11/13,01-01-1970,  fasTfiX 
 c1167 ,BAttERy rEPlACEMEnT," MaY 26, 2020",01 JAn 1970,SPEeD GARAGE 
 c1168,eNGInE Repair,2023/06/03 ,01 jan 1970,FAsTFIX  
 C1169 , fulL seRvice,04-17-2022 , 01 jan 1970 ,  PITStOp 
  C1170 ,oiL cHaNGe,"dEc 07, 2021", 1970-01-01,  mECHanix
 c1171 ,batTERy replACEMeNt,30 juL 2020,1970/01/01 , pitstOP
 c1172,  bRAKE seRvicE,2022/10/20,1970/01/01,autocARE
c1173 ,oIL ChANGe ,2022-11-07,01 JaN 1970, PitstOp  
C1174, TYRe ChAnge , 27/01/2023 ,01 JAN 1970 , PItSTop
 C1175 ,fUlL sERVICE,06 May 2021, 01 jaN 1970 ,speEd gArAge
 c1176,BRAkE serVicE,"JuL 27, 2022",01-01-1970,fasTFIx
c1177,oiL CHaNGe,"sep 15, 2022",01/01/1970, PITStOP 
 C1178,  tYRE cHange ,2020-31-05, 01-01-1970, PITStOp
 c1179 ,eNGIne rePair, 2021/12/21," jan 01, 1970 ",cARZ
 C1180,Oil cHaNGe,03-21-2021 ,01 jAN 1970 , FaSTFix  
 C1181, OIL CHaNge, 2020/12/25, 1970/01/01 , speed GARAgE  
C1182,BaTTEry rEPLAcEmenT  ,2022/09/29 ,1970-01-01 ,CaRZ  
 C1183 , BRakE sErViCe ,06-14-2021, 01/01/1970, pitStOp 
C1184 ,fulL servICe  ,2022-24-12,01/01/1970, sPeED GaragE 
c1185, oIl changE,2022-19-07 , 01/01/1970 ,carZ  
C1186 ,enGine rEpAIR ,2021-24-05,01 jaN 1970, cARZ
c1187,BRAke SeRvIcE,2022-17-11,1970/01/01,Carz  
 C1188,  FULL SErVIce ,2023-06-11,01-01-1970,meCHANIX 
 c1189, fUlL sERViCe,2023/08/29,01/01/1970 ,SPeed GARAGe
C1190 ,engINe REPair ,2021-04-04,1970/01/01, fASTfIx
C1191  ,BrAKe SerVicE , 08-08-2020," jAn 01, 1970 ",FaSTFIX
 C1192 , enGinE Repair  , 2020-13-10,01/01/1970 ,FasTfiX 
 C1193 ,EnGInE rEpAIr  ,2022/09/08,"JaN 01, 1970",autOcaRE 
c1194  , BrakE SeRVIcE ,27/03/2020,"Jan 01, 1970",PitSToP 
c1195  , EnGIne rePair,06-10-2023 , 1970-01-01 , autOCArE
C1196,BRAKe SErvICE ,"maY 13, 2022", 01/01/1970,PITstOP
c1197,  BaTTeRY rEPlaCEmENT ,18 sep 2021, 1970-01-01, CARZ 
c1198,tyrE CHaNgE ,01-04-2021 , 1970-01-01 , SPEeD garAGE 
 C1199,  BRaKE SerVICE,14 mAY 2023 , 01-01-1970, SPeed gArAGe
 C1200,tyre CHanGe ,2020/01/25,01-01-1970 ,FAstfix 
  c1201 ,EngINe RepAiR ,13 OcT 2022, 1970-01-01,fAstFIX 
 C1202 ,BRake ServIcE ,"Apr 01, 2021", 01 jAN 1970 , FAsTFIx
 C1203,oil cHAnGe ,30/07/2022,1970/01/01,carZ 
C1204 , Oil change,16 aUg 2020, 01 jAN 1970 ,  PITsTOP 
 c1205  ,BraKe SERVIcE,19 mAr 2022, 1970/01/01, mEcHAnIX
c1206,enGinE rePAIR,02 jul 2022 ,01-01-1970, AUtocARE 
c1207, brake SeRVICe, 07 mAY 2023,01/01/1970,aUtoCarE
c1208 , oiL cHaNGE ,2022-16-08,01 JaN 1970, CArz 
C1209, TyrE CHaNgE ," MaR 25, 2021 ",01-01-1970, carZ
c1210 , tYRe cHANGe , 2020/07/10, 01 jan 1970 , speeD GArage
C1211, Full SerVICE  ,05/08/2023," jAN 01, 1970",SPEED gARAge
C1212, fuLL SeRvice  ,2022/02/06,01 jAN 1970 ,  PiTsToP
C1213,fULl SERvice ,16 MaY 2020, 01 jan 1970 ,SPeed GArAge 
c1214,BRAke Service , 08-07-2021, 01/01/1970,auTocaRE
 c1215  ,EngiNe rEPAiR," SEp 20, 2023 ",01 jAn 1970,  Speed GArAge
 c1216 , brakE servIcE ,08-11-2020,01-01-1970,FaStFIx
 c1217,OIL cHaNGe," sEp 09, 2020",01-01-1970,sPeeD GARage 
c1218, brakE SeRVice,2023-10-05, 1970-01-01, MechANIX  
c1219,TyRe cHaNGe, 07 nOV 2021, 01 jAN 1970,  piTstOP
 c1220 ,bRAke SeRVice, 12-13-2020," JAN 01, 1970", pitstop
C1221,BRAkE sERVIce , 2021-15-05,1970-01-01,speeD GaRage 
 C1222,TyRe CHAngE ,23/10/2021,01/01/1970,PItsToP
C1223 ,FULl SErvIce, 2022/02/11,1970-01-01, AUtoCAre 
c1224,Oil CHanGe  , 19/03/2020,1970/01/01,  pitstop
 C1225,BRaKE seRviCe," Aug 04, 2021", 1970-01-01,caRz 
C1226 ,TYrE cHaNGE,09 JUL 2023, 01/01/1970, FasTFIx 
C1227,  tYre cHaNge,2020/04/13,"Jan 01, 1970", sPEED garAgE
 c1228,bAtTERY repLaCEmeNt,2022/07/22 , 01/01/1970, MeChaniX 
 c1229,BattEry rEPLAcEmeNt ,2021/01/07, 01/01/1970,  piTstoP 
c1230, BRaKe serviCE, 29/08/2023 ,1970-01-01,pItsTOP 
 C1231, TYRe ChAnGE, 2022-26-07,1970-01-01, MEChAnix 
 C1232 ,BRaKe SERvICE , 20/06/2021,01 JaN 1970 , fASTfiX
 C1233,brAKe SeRvICe ,2022/11/10,01-01-1970 , fASTfIx 
c1234, bRAkE SErVice,09/03/2023,1970-01-01 ,  mEChAnIx
C1235, batTery ReplacEmEnT ,"jAN 19, 2020 ", 01-01-1970,CaRz 
 C1236 , baTTeRY REPlACEmenT, 2022/07/06, 1970-01-01, SpeEd GArAge 
C1237,baTteRy RePlaCeMeNt ,15/07/2021,1970-01-01,CarZ
 C1238 ,bATTErY RePLAceMeNT, 22 Dec 2020,"jAn 01, 1970", mEchaNIX 
 C1239 ,eNgIne repAir ,06-16-2022,1970-01-01 , aUTOcAre  
 c1240,bRakE sERVICE,17 ApR 2020,"Jan 01, 1970 ", PItStOP
  c1241,FUll SeRviCe,2020-04-10, 1970/01/01,Speed GaRaGe 
 C1242 , FulL service ,09/04/2021 ,01 jAN 1970 ,  MEchaNiX 
 C1243 , BATtery RePLACEment,2022-28-04,1970-01-01 , pitstOP
 c1244 , brake seRvIce ,2022/07/15 ,1970/01/01, PiTStoP 
 c1245 ,  tyRe ChAnge ,2021/02/13 ,1970/01/01,SPEed gARAGE  
 C1246 ,fULl seRViCE, 12/09/2023 ,01-01-1970,pITStOp 
 c1247  ,fULL SeRvICE,24/09/2023,1970-01-01,PiTStoP
  c1248,oIl chaNge ,2022-16-12,01-01-1970, CArz 
c1249, BAttErY replaCeMent ,"feB 19, 2023",1970-01-01,  pItStoP
c1250, BRaKE sERVIcE ,2020-25-07,01-01-1970, AutOCAre 
 c1251,  FulL servIce , 29 jun 2021 , 01 Jan 1970,piTSToP 
  c1252,braKe sErVIcE ,02-10-2021, 01-01-1970, mEChanIx 
 c1253 ,fUlL sERviCE ,"JaN 28, 2023",1970-01-01,CARz
 c1254 ,  fULl sERVIce,2020/02/20," JAn 01, 1970 ",  pitStOP
c1255, OIL ChaNGE,18/10/2021, 1970-01-01 , caRz
c1256 , OiL CHANgE,2020/10/17,1970-01-01, cARZ
C1257 , enGiNe rePAIR ,2023-26-06,"JAn 01, 1970 ", mEcHANIX 
C1258 ,oil cHangE , 07-11-2020,1970/01/01 ,mEChANIX 
 c1259 ,Oil cHANge ,03 Mar 2022,01-01-1970, CARZ 
 C1260 ,bRaKe SErVICE, 04-20-2020,01-01-1970, SpeEd GAraGE
C1261 , Tyre cHaNge ,2020-04-12,1970-01-01, cARZ
c1262 ,OIL ChaNGE,30/09/2020 ,01-01-1970,FaStFiX
c1263, BaTTEry rEPlaCEMENt ,07-15-2021, 01 JAN 1970 , SpeeD GarAGe
  C1264 ,EngiNe rePAiR,"Dec 03, 2021 ", 01 JAn 1970 ,faStFiX
C1265, bAttERY rePLACement ,2023-10-01 ,1970-01-01, FAstFIX
C1266 , bRakE sErvIcE ,"DEC 30, 2022",01 Jan 1970,fasTFIx
c1267 ,fuLL SErvice , 05/09/2022 ,01-01-1970, fAstFiX
  c1268,  FULl SERViCe , 08-18-2021, 01 JAN 1970, spEeD gaRage
c1269, ENGiNE RePair,01 SEp 2021 ,"JaN 01, 1970",fastFIX 
 C1270 ,eNGine rEPaiR,10-23-2020,01 jAn 1970, FaStfIX
 c1271 , fuLL SErvICe , 2023-15-07,01 JAn 1970 , fastfix  
C1272,BaTterY REpLACemENt," aUG 03, 2022 ", 1970-01-01,carZ 
c1273,FuLL serVICE ,2021-08-04,1970-01-01 ,pItsToP 
  c1274 ,EnGine repair , 09-29-2021 , 1970-01-01, mEcHAniX 
c1275,fUll seRVIcE  ,2020/10/27,01 JAn 1970,FAstfix
 c1276,  tyre chAnGE, 25/12/2021,01/01/1970 ,speed GaraGe 
 c1277  ,BrAKE SeRvICe," jUl 13, 2020",1970-01-01,mEcHAniX 
c1278 , TYRE ChanGE ,"APr 22, 2020 ",01 jAn 1970,MeChAnIx
 c1279 , OIl ChaNgE,"Jun 05, 2020",01/01/1970,mEChaNIX
C1280,oiL cHanGE ,"MAr 03, 2021","jAN 01, 1970",mechaNIX
C1281, brAKE sERvice, 02-05-2023,01/01/1970, MEChAnix 
c1282 ,oIL ChANgE ,18/04/2022,01-01-1970, FaSTFIx 
C1283,tyRE cHangE ,2023/02/04,01 jAN 1970,MecHANIX 
c1284 ,TyRE chAnge, 12-21-2020, 1970-01-01 , meChanIx 
C1285, OIl chANgE ,13 mAY 2022, 01-01-1970,CArz
 C1286,  bAtTERY replacEMEnT , 10-21-2022, 01/01/1970 , FaStfix  
c1287, fULL sERviCE,01/04/2022, 01/01/1970,SPeED GarAgE
C1288 ,TYre ChaNge,06-21-2021,1970/01/01 ,  PITstop 
c1289 ,enGInE REPaIr,"ApR 05, 2023 ",1970/01/01, fasTFiX 
 C1290, brAKE seRviCe,05/12/2020,01/01/1970 , aUtOCarE
 C1291, EnginE rEPaIr ,2022-10-01,1970-01-01, cARZ
C1292 , BatTeRy REplACemEnT ,11-21-2023 ,1970/01/01 ,CarZ 
c1293 ,tYre CHaNGe, 2022/08/22,01 JAn 1970 , pITstOP
C1294, tYRE CHAnge ,2022/03/26, 1970/01/01 ,PitsTop
  C1295, BaTTeRy REpLaCeMeNT,12 FEb 2023,01/01/1970 , caRZ 
c1296 ,oiL cHANGe, 09-12-2020,"JaN 01, 1970", PiTstOp 
 C1297,  engINe RepAIr ,13 AUG 2021 , 01/01/1970,FaStFIx  
c1298 , tYRE CHanGE, 25 mAY 2021,01 jaN 1970 ,MeCHaNiX  
c1299, BattERY ReplACeMENt,2023/06/01, 01 Jan 1970, AUtOCaRe 
C1300  , FuLl SERvicE,18/04/2021 ,1970-01-01, aUTOCARE
 C1301,bRakE SERvicE,"ApR 24, 2020",01/01/1970, pItstoP  
 C1302  ,EnGINE rEpaIR ,2020-01-12 , 1970/01/01 ,faSTFix  
C1303,FuLl SeRvICE,03 OcT 2022,1970-01-01,FAsTFIX
 C1304 ,brAkE serVIcE ,2023/05/07,1970-01-01, AuToCARe 
c1305, enGinE REPAiR ,22 deC 2021,01-01-1970,AUtOCAre 
 C1306 ,BatTERy REpLaCEmENt ,06-13-2020,1970-01-01,AutocARe 
  c1307 ,oIL ChANge,11-08-2020," JaN 01, 1970", auTOcARe  
 c1308 ,OiL cHanGE, 07 mAR 2023, 1970/01/01, fAStFiX 
 c1309 , tYRe ChANGe,"jUl 06, 2020","JaN 01, 1970", SPEed gARaGe  
c1310, Tyre cHAngE , 2020-08-06 ,1970-01-01, PitsTOp 
 C1311, BRake sERVICE, 10 auG 2023,01 JAn 1970 ,auTocARe 
c1312  ,tyRE chAnGE ,03/03/2020,01-01-1970,PitsToP 
 C1313 ,FUll SERvICe  ,03 MaY 2023,"jaN 01, 1970",cARZ 
C1314 ,baTTery RePLAceMEnT ,2023/01/13, 01/01/1970, AuTOcarE
C1315,BRAKE seRVICe ,"jaN 27, 2020", 1970/01/01 , fAStfIx 
c1316 ,  eNgine REpaIr ,"NoV 23, 2021 ",1970/01/01, FasTfIX 
c1317 , batTERY rEplACemenT, 2023-12-02,"JAN 01, 1970",SPEED GaragE 
 C1318,EngiNe repaIr , 06 juN 2022 ,1970-01-01 ,cARZ  
  c1319, tyre cHanGE ,2023/03/11,01/01/1970 ,speeD GaRaGE 
c1320,EnGInE rePair, 2021/03/29,1970/01/01,fAsTFIX 
C1321, eNGIne rEPAir,11 OCt 2020,01-01-1970 ,MeCHaNIX
  C1322 , Oil chAnge  ,17/09/2021 ,01-01-1970 ,CArz  
C1323 ,eNGINe rEpaIR,2020-06-04,1970/01/01,MechAniX 
c1324  ,BrAKE SErviCE ,2021-28-08,01-01-1970, piTsTop 
  C1325 , tYRe CHAnGe  ,"MaY 05, 2023 ",01-01-1970 , cArz  
 c1326,tyRe ChANge,15/09/2022, 1970-01-01, PItsTOP
 C1327,oiL cHanGe,02 Jun 2023 , 01 jAN 1970,AUTOcAre
c1328  ,enGine REpAir,2023-13-02,01 JaN 1970,  PiTStOp 
C1329 , oil CHaNgE , 2022-01-10, 1970/01/01,  fasTfIX 
c1330 ,BRaKE seRVIce ,"auG 14, 2022 ", 01 jAN 1970 , auTocAre
c1331,Oil chaNgE,06-12-2021,01/01/1970, sPeEd gARagE 
 C1332, bRake sERvICe," apr 14, 2023","jan 01, 1970",MeChaNiX
 C1333 ,  BRAkE serviCe,02 jAN 2020,"jaN 01, 1970 ", PITSTOp
 c1334 ,  FULl SeRVICE ,22 Feb 2020, 01 JAn 1970 ,AuTOCArE 
 c1335 ,tyRE cHange,21/07/2020,1970-01-01, spEED GARAgE
 c1336 , tYrE chAnge , 2023-11-03,"Jan 01, 1970 ",MechaNix
C1337, oIl CHAngE,12/08/2023,01 jan 1970, FAstFIx  
 c1338,full servICe,06/12/2022," JAn 01, 1970",AUTOCarE  
c1339 ,  tyRE cHangE, 2020-16-12 ,01/01/1970,Speed GARAGe
c1340  , FULl ServicE,14/12/2020 ,01-01-1970, caRZ 
