Car_ID,Sale_Price_Lakh,Sale_Date,Buyer_Name
 c1051, 01 JaN 1970," jul 18, 2023 ",bUYEr_51
c1052 ,1970-01-01 , 28 Dec 2022, bUYer_52
C1053," jan 01, 1970",2022-30-05,bUyeR_53
c1054  ,1970/01/01,"maY 17, 2022", bUYer_54 
c1055, 1970-01-01,05-23-2023,BuYEr_55 
c1056 ,01-01-1970,"maY 31, 2022",BuyEr_56
c1057 ,01 JAn 1970,"Jan 05, 2023", BuYER_57
c1058,"JAn 01, 1970", 03-06-2023 ,BuYER_58 
C1059  ,01 jaN 1970 ," jan 17, 2022", BuYER_59
C1060 ,"jan 01, 1970 ",2023/10/10, buyEr_60  
 C1061,"jan 01, 1970 ",2022-18-09, BuYer_61 
 C1062 ,01 JAN 1970 ,2022/05/27,BUYeR_62
 C1063,01 JaN 1970 ,"NoV 29, 2023",BUYer_63
 c1064 ,1970-01-01,29 noV 2022 ,BUyer_64  
 C1065,1970-01-01 ,18 NOv 2022,  bUyer_65
C1066 , 1970-01-01, 04/11/2023,bUYER_66 
C1067 ,1970-01-01 , 2023-06-08, BUYEr_67
 C1068 , 01-01-1970," FEb 21, 2023", bUyer_68
 c1069  ,1970-01-01,18/02/2023, BUYer_69
  c1070, 1970/01/01 ,04/05/2022, BUYEr_70 
 C1071," JAN 01, 1970 ",2023-22-11 ,buYEr_71  
 C1072,01-01-1970," mAY 02, 2023",BuYEr_72
c1073 , 01/01/1970,2023-12-09 ,  buyeR_73 
C1074 ,01 JAN 1970,07-16-2023 , buYEr_74 
c1075 ,1970/01/01,21 auG 2023,BUyer_75 
c1076, 01/01/1970,2022/08/17,bUyER_76 
 C1077,1970-01-01, 21/09/2022 ,buyer_77
c1078 ,01/01/1970 ,"jUL 09, 2023", BuYER_78 
c1079 ,1970-01-01, 22 aPR 2022,buYeR_79 
C1080 ,1970/01/01, 2023/07/20,BUyeR_80
  C1081 ,01/01/1970 ,2023-23-06,BUyeR_81
c1082,"jAn 01, 1970",2022-18-01,BuYER_82
 C1083 ,1970-01-01, 2022-20-02, BUYER_83 
c1084,01-01-1970,"sEP 05, 2023",bUYer_84
c1085, 1970/01/01 ,06/04/2022,  buYER_85 
 C1086,01 JAn 1970 , 14/07/2023 , BuyER_86
 c1087, 01 jAN 1970,2022/12/01,BUYEr_87 
 c1088  , 1970-01-01 ,"Aug 10, 2022", buYER_88
C1089 , 1970/01/01 ,13/03/2023, bUYER_89 
  c1090,01-01-1970, 01-16-2023,bUYer_90 
c1091 ,01-01-1970,2023-13-03, BuYer_91
C1092,"jaN 01, 1970",24 apr 2023,BUyer_92  
C1093, 01/01/1970,"mar 27, 2022 ", bUyER_93
c1094 ," JaN 01, 1970",09-26-2022, bUyer_94 
c1095,01/01/1970,"Jul 18, 2023", BUYeR_95
 c1096 ," jaN 01, 1970 ", 2023/01/08 ,  buYER_96 
C1097,01 jAn 1970 ,01/12/2023, bUyER_97
 c1098 , 01-01-1970 ,02-16-2023, BUYER_98 
 C1099,1970-01-01,03-14-2022, buYER_99 
 C1100,1970-01-01 , 2023/01/27, buyeR_100
C1101 ,1970-01-01, 21/01/2022 , BUYEr_101 
 C1102,01 jAN 1970 , 2023/01/18,  BUYER_102
C1103," jAN 01, 1970", 18/07/2022 , bUYeR_103
C1104 ,"Jan 01, 1970", 07 apr 2023,buYer_104
 c1105 ,01 JAn 1970,17 ApR 2023,BuyeR_105  
 c1106,1970/01/01,"aug 28, 2022", BUYER_106 
c1107 ,01-01-1970 , 01/05/2023,BuYEr_107 
c1108,1970/01/01 ,2022-30-10,bUyeR_108
C1109 ,01 jan 1970,2022-25-07,Buyer_109 
c1110 , 01-01-1970 , 2022/08/05 ,BuYEr_110  
  c1111,1970/01/01 , 02-24-2022 ,buyEr_111 
c1112, 01-01-1970 ,26 MAR 2022,buYer_112 
 c1113, 1970/01/01 ,04-30-2023,buYER_113
  C1114, 01-01-1970,05 SEp 2022,buyEr_114
C1115,1970-01-01 ,16/11/2023, BuYeR_115 
 C1116," JaN 01, 1970",2022/08/16, BuYER_116 
  C1117,1970-01-01,2022/05/23 , buyer_117
  c1118, 1970/01/01 ,16/02/2023,BuYER_118
  C1119 ,"Jan 01, 1970",10/01/2022, BuyEr_119
c1120 ,01-01-1970,03/07/2022, BUYer_120
C1121,01 jAn 1970, 2023/03/24 ,BUyER_121
c1122 , 01 jAN 1970,11-07-2022, buYER_122 
C1123," Jan 01, 1970 ",23 dec 2023 ,BuyEr_123
 c1124,01 jAn 1970 , 10-22-2022, bUYER_124  
c1125, 01 JAN 1970 ,2023/02/20 ,Buyer_125
 C1126,"jAn 01, 1970",2023-18-01,bUYer_126 
 c1127 ,1970/01/01, 11-05-2023,  bUYEr_127 
 C1128, 01/01/1970,"aUG 06, 2023 ", BuYER_128
 c1129, 01/01/1970,16 MAy 2023 ,  bUYEr_129 
C1130 ,01-01-1970 ,2022-23-10 ,BUyer_130 
 C1131  ,"Jan 01, 1970", 14 Sep 2023, buyer_131
 c1132  ,"JAn 01, 1970 ","jAn 05, 2022", BUyeR_132 
C1133,"jaN 01, 1970","mAy 24, 2022", bUYer_133
  C1134, 1970/01/01,2022-13-01,BUYEr_134  
C1135, 01-01-1970,2022/12/24,BuyEr_135
 C1136," jan 01, 1970", 12-18-2023 , BUYeR_136 
c1137,1970-01-01,2022-10-05, Buyer_137
 c1138,01 jAn 1970,2023-15-05,BuyeR_138 
 C1139 ,01 JAn 1970 ," jUl 11, 2023", buyer_139
c1140 , 1970/01/01,11-05-2022, bUYeR_140 
 C1141 ,"JaN 01, 1970 ","jAn 06, 2023",BuYeR_141
  C1142, 01 JAN 1970 ,"dEC 20, 2023", BUYeR_142 
  c1143, 01 jaN 1970 ,25/02/2022, BUyER_143 
c1144 , 1970-01-01 ,2022-12-09, buyer_144 
  c1145, 01-01-1970,2022/05/23,buYeR_145 
 C1146 ,01/01/1970 ," nOV 25, 2022", BuyER_146
c1147, 01/01/1970, 24/08/2022, bUYeR_147 
 c1148,01-01-1970,01 jaN 2022,  buyeR_148 
c1149, 1970/01/01,2023-05-01,BUYeR_149
 C1150,1970/01/01 , 01 apR 2022,bUyeR_150
c1151 ,1970-01-01, 01-24-2022, BUYer_151
 C1152,1970/01/01 ,2022-16-06 ,BuYer_152 
C1153,01/01/1970, 2022-29-07 ,  bUyer_153
  c1154 ,01/01/1970," jUL 21, 2023", BUyer_154 
C1155,1970-01-01,12-05-2023,BuYEr_155
 C1156  , 01-01-1970,2023-17-05, BuYeR_156 
 C1157  ,1970-01-01,09 nov 2023 , BUyeR_157
c1158 ,01-01-1970,30 AuG 2023, BuYer_158 
 c1159,01 Jan 1970,2023/10/25,buyer_159
C1160 ,01 jAN 1970,08-12-2022, bUYER_160
C1161,1970-01-01,16 jUn 2022, buyEr_161
c1162 ,1970-01-01,02-02-2023, BuyEr_162
C1163, 1970-01-01,2023-11-05 , BUyeR_163 
  c1164  ,01 jAN 1970,03 FeB 2022 , bUyer_164 
 c1165,01-01-1970,"SeP 08, 2022 ", BUyeR_165 
C1166,1970-01-01, 24 mAY 2022,  buYER_166 
c1167  ,01 JaN 1970 ,"JUl 23, 2022", bUyEr_167
  C1168 ,1970-01-01,2022-11-04 ,  buYeR_168
C1169 ,1970/01/01 , 21 DEC 2022,BuyER_169  
 c1170 ,01-01-1970, 2022/01/21,BuYeR_170
C1171,"jaN 01, 1970",2023-11-02, buyER_171
 C1172,"jan 01, 1970",29 ocT 2023,Buyer_172 
 C1173,1970-01-01 ,03-08-2023, BuYeR_173 
  c1174," jAn 01, 1970", 18/01/2023,  bUYER_174  
 C1175 ,01/01/1970,07/12/2022 ,  Buyer_175
 C1176 ,01-01-1970,31 Oct 2022 , BUYer_176 
 C1177, 1970/01/01,12-19-2022, buyEr_177 
 c1178,1970/01/01,2023-15-05 ,BuyER_178
  C1179,1970-01-01,13/04/2023 ,BuYer_179  
 C1180  , 1970-01-01,"Jul 07, 2022 ",bUYer_180
C1181 ,"jaN 01, 1970 ",04 Jun 2023,  buyEr_181
c1182 ,01 JaN 1970,10-03-2023, BuYer_182
c1183,1970-01-01, 27/09/2023 , bUyeR_183 
c1184, 1970/01/01,2022/04/24,BUyER_184 
 c1185 ,01 JaN 1970,"fEB 11, 2023",bUYeR_185
 C1186 ,1970-01-01, 27/10/2023,buyeR_186 
  c1187,01 JAn 1970 ,2023/12/01,BuyEr_187 
 c1188 ,1970-01-01 ," dec 03, 2023",buYer_188
C1189 , 01 JAN 1970, 06 JUn 2023,BUYEr_189
 c1190  ,"jAN 01, 1970 ", 13/10/2023 , buYER_190 
 c1191 , 01-01-1970,12-16-2022 ,buyeR_191  
 C1192,1970-01-01, 17/11/2023 ,BUyer_192 
C1193,01-01-1970,2023/07/19 ,BuyER_193 
C1194 ,01 jan 1970, 18 SEp 2022,  buYER_194 
 C1195,01/01/1970,05/02/2023,bUYER_195 
c1196, 01/01/1970 ,03/12/2022, buyeR_196
c1197,01-01-1970,2022/02/17, BuyeR_197 
 C1198, 1970/01/01,21/11/2023,  bUYeR_198
  c1199,1970/01/01 ,12/07/2022 , BUYEr_199  
 c1200, 1970-01-01 ,12-29-2022 , buyeR_200  
 C1201 , 01-01-1970, 03-15-2022, BUYER_201
C1202 , 01 Jan 1970,02 seP 2022 ,  bUYeR_202
c1203,01 jaN 1970,2023/10/09, BuyEr_203
C1204, 01-01-1970, 02 AUg 2022, BuYer_204
 c1205,01 jan 1970,03/09/2023, buyEr_205 
C1206,1970-01-01,11/01/2022,BuYER_206 
 C1207, 1970/01/01 , 18/05/2022,  buYeR_207  
c1208 ,01/01/1970,03/09/2022, buyeR_208
 C1209 , 01-01-1970,22 sep 2023,BuYEr_209 
C1210,01-01-1970,2023/02/10 , BuyeR_210 
 C1211 ,1970/01/01,"Oct 13, 2023 ",buyeR_211  
c1212 ,01 jAn 1970, 13/11/2022 ,BUyeR_212
 C1213 ,01/01/1970,"dEC 24, 2022", bUYeR_213 
c1214 ,1970/01/01, 2022/05/01,buYeR_214
 C1215 ," jAn 01, 1970"," oCT 25, 2022 ",bUYeR_215 
C1216  ,01 jAn 1970 ,2023/09/21 ,bUYER_216
 C1217, 1970/01/01, 2022/09/01,bUYeR_217  
 c1218, 1970/01/01,08 deC 2022,buYer_218
 c1219, 1970-01-01 ,06-16-2022 , buyER_219
c1220,01-01-1970, 12-07-2023 , BUyER_220 
 c1221, 01-01-1970,07/05/2022,BUyER_221 
 C1222,1970-01-01 ,2023-06-09,bUYer_222
c1223 ,1970-01-01 , 06-18-2023,  buYEr_223
 C1224 , 01-01-1970 ,15 Aug 2023,Buyer_224
C1225 , 1970/01/01 ,"Oct 02, 2023", BUYeR_225 
C1226,"JaN 01, 1970",17/08/2022,bUyER_226 
C1227,01 JAN 1970,"sEP 23, 2023",BUyEr_227
 c1228,1970-01-01, 08 MaR 2023,BUyEr_228
 c1229  ,"Jan 01, 1970 ",08/09/2023,BUYEr_229 
 c1230,1970/01/01,17 dec 2022, buYeR_230 
 c1231," JAN 01, 1970 ",30 JAN 2023,BuyeR_231  
  c1232,1970/01/01,12/01/2022,bUyeR_232 
 c1233  , 01-01-1970,2022-12-11, buYEr_233
 c1234 ,1970-01-01,"sEp 16, 2022",  BuYER_234 
c1235,01-01-1970,07-16-2022, BuYER_235
c1236,1970/01/01 ,2023-02-04, BuyER_236 
c1237," JAN 01, 1970",2022/08/07 , bUyeR_237  
 c1238 , 1970-01-01 ," JUn 14, 2023 ", bUYer_238
 c1239  ,01-01-1970,2022/04/18 , bUyEr_239
 C1240 ,01-01-1970 ,2023-06-02,buyER_240
c1241, 01 JaN 1970, 27 Oct 2022, Buyer_241
 c1242,01 JAN 1970,"fEB 17, 2023", BuyEr_242
c1243,1970/01/01, 2023-09-12,BUyer_243 
C1244,"jAn 01, 1970 ",2023-12-12,BuyER_244 
 c1245 ,1970-01-01 ," JUn 05, 2023",BUYer_245
 c1246 ,01-01-1970,13 MaY 2023,BUYeR_246
C1247 ,1970/01/01, 01 mAR 2023 ,bUYER_247  
 C1248,"JaN 01, 1970",21 maY 2023, buyer_248
  C1249, 1970-01-01 ,2022/02/24 , bUyer_249 
 c1250,01 JAn 1970, 2023-01-01, bUyER_250 
  C1251 , 1970-01-01,12-26-2022, BuYER_251
c1252  ,01/01/1970, 2022-31-03 , BUyer_252
 C1253, 01/01/1970 ,2023-09-08,  BuYeR_253
 C1254,1970-01-01,11 jan 2023 , BUyer_254
c1255 ,01-01-1970, 11-01-2022,bUYeR_255
c1256 ,01 JaN 1970,2023/06/18,BuYER_256
  C1257 ,1970-01-01 ," maY 30, 2022",BUyeR_257  
 c1258, 1970/01/01,"Nov 15, 2022 ", BUYEr_258 
c1259 , 1970/01/01," oct 26, 2022 ",bUYER_259 
C1260, 1970/01/01,06 AuG 2022 ,BuyER_260 
C1261 ,01-01-1970,06 sep 2022,BuYeR_261
C1262,1970/01/01 ,2024/01/01 ,buYER_262  
 C1263," Jan 01, 1970","JaN 09, 2023",buyER_263 
 C1264,"JaN 01, 1970",2022/10/27,  BUYeR_264 
C1265 , 1970-01-01, 2022/02/09,BUyEr_265
c1266, 1970/01/01,29/04/2023,bUyEr_266 
 c1267 ,01-01-1970 ,2023/01/21,BuYEr_267 
  C1268, 1970/01/01,2023-11-12, BuYEr_268 
C1269 ,01-01-1970 ,2023-07-04, bUyeR_269 
C1270 ,01-01-1970 ,12-30-2023 , bUyer_270  
C1271 ,01/01/1970, 2023/08/20 , BUyER_271  
c1272 ,1970/01/01, 2023-12-01 ,BUYEr_272 
 c1273  ,1970-01-01,2023-01-03 ,buyeR_273 
 c1274,"JaN 01, 1970 ", 11-09-2023,BuYer_274
C1275 ," jaN 01, 1970",2023/05/05,bUYER_275
c1276  ,1970/01/01,01-14-2022,BuYER_276 
c1277,01 JAn 1970 ,04-14-2022,BuyeR_277 
 c1278,01-01-1970, 21/09/2023,  bUYer_278
 c1279 , 01-01-1970, 2023-23-11,BuYER_279 
 c1280,1970-01-01,2022/07/19, bUyeR_280 
 c1281 ,1970-01-01, 2023-30-04 ,buyEr_281
C1282,1970-01-01, 2023-07-12, bUYeR_282
c1283 ,01-01-1970, 21/05/2023,bUYER_283
C1284 ,1970/01/01,09/07/2022, bUyer_284
 c1285,01/01/1970, 05-03-2022,BuYeR_285
C1286 ,1970-01-01 ,07 juN 2023,BUYeR_286  
 c1287,01/01/1970 ,27 jul 2023 , BuYER_287 
C1288 ,1970/01/01, 10-19-2022,buyEr_288
 C1289, 01-01-1970, 06/04/2023,BuyER_289 
C1290 , 1970/01/01, 18 jAn 2022, buYER_290  
C1291,"Jan 01, 1970",09 Aug 2023 ,bUyeR_291
C1292,"jAn 01, 1970",02/10/2022,bUYEr_292
c1293  , 1970/01/01,"apR 25, 2023 ",BuYER_293  
 c1294,"Jan 01, 1970",2022-21-04,BUYer_294  
C1295 ,1970-01-01,2023/10/29 , bUYEr_295
 C1296 ,01 jaN 1970, 2022/05/10,BuYER_296 
 C1297 ,1970-01-01," Dec 04, 2023",BuYEr_297
 C1298  ,"jAN 01, 1970",2023/10/26 ,bUyEr_298 
 C1299 , 01 jaN 1970,26 fEB 2022, BUyeR_299
c1300,1970/01/01,"NoV 27, 2023", bUyeR_300  
c1301 ,01 JAn 1970,2023-24-10, BuyeR_301
C1302,01 JaN 1970,10 may 2022 ,buYEr_302 
C1303  , 1970/01/01 ,2022/08/22,  bUYER_303
 c1304 ,01-01-1970, 03 AUG 2023 , BuyER_304 
C1305 ,01 Jan 1970,2023-31-05 , BUyeR_305
C1306 , 01/01/1970,07 jul 2022, buyEr_306
C1307,1970-01-01 ,13/08/2023,buyeR_307
C1308,1970/01/01,"oct 14, 2023",  buYeR_308  
 C1309 , 01-01-1970,05/10/2022,  bUyEr_309 
 c1310,01 jan 1970 ,24/08/2022,bUyEr_310
 c1311,"JAn 01, 1970",2022/06/27 ,BuYEr_311
 C1312 , 1970-01-01 ," nOV 05, 2022", buyEr_312
 C1313 , 1970-01-01,31/12/2022, BUYER_313 
 c1314  ,1970/01/01,2022-27-03 ,bUYER_314 
 C1315, 1970-01-01,17 Feb 2023 , BUYER_315 
c1316," JAn 01, 1970","AUG 14, 2022 ", BuyeR_316
C1317,"jaN 01, 1970 ",03-22-2022 ,buyeR_317 
c1318 , 1970-01-01, 24 jUn 2023,  BUYER_318 
c1319,01/01/1970,"jUn 30, 2023",bUyER_319 
c1320 , 01 jAn 1970, 16 JUn 2022 , BUYeR_320 
 C1321, 01 jaN 1970,12 NOv 2023,BuyEr_321 
c1322, 01/01/1970 ,01-25-2023,BuyER_322
 c1323 ,01/01/1970 ,20/08/2022,bUYeR_323
C1324,1970/01/01,04/06/2022 ,buYer_324 
c1325, 01 jan 1970,18 apr 2022 , bUyer_325
  c1326 ,01/01/1970 ,07-25-2023 , buYER_326
 C1327 ,"jaN 01, 1970",18 May 2022 , BuyEr_327 
 c1328 ,"JaN 01, 1970", 10-12-2023,BUYer_328 
 C1329, 01/01/1970,06-28-2023,buYeR_329 
c1330  ,01-01-1970, 2022-10-12 , bUyer_330
C1331,01/01/1970, 08/08/2022,bUYeR_331
 c1332 ,"jAn 01, 1970",2023/07/25, BUYEr_332  
C1333,1970-01-01,2023/07/12,BuYER_333  
  c1334 ,01/01/1970 ,"oCt 30, 2023",buYEr_334  
c1335,1970/01/01,22/08/2022,BUYEr_335 
C1336,01-01-1970,2023/04/14, bUyER_336
 C1337 ,"Jan 01, 1970",15 jaN 2022 ,BUyer_337
C1338 ,"Jan 01, 1970",2022/11/12,BuYEr_338
c1339 ," JaN 01, 1970",07/03/2023,buyER_339
C1340 , 01/01/1970, 2023/02/19 ,BUYeR_340 
C1341,01/01/1970 ,2023-20-12,buYEr_341
  C1342,"JaN 01, 1970",2022/08/19 , buYer_342 
 c1343, 01-01-1970, 12-14-2022, buYer_343 
C1344 ,1970-01-01, 02-03-2023 ,bUYEr_344 
C1345,"jaN 01, 1970",19/12/2022,buyeR_345  
 c1346  ,1970/01/01, 06 APr 2022,bUYeR_346 
 C1347 ,1970-01-01, 2023/02/28, BuyeR_347
c1348  ,01 Jan 1970, 12-30-2022 , BUYEr_348 
 c1349,1970/01/01, 01-20-2022,bUYeR_349 
C1350  ,1970/01/01,27 Feb 2022,BuYEr_350 
C1351, 01/01/1970 ,06-25-2023, BUYER_351 
 C1352  ,"JAn 01, 1970",07 dec 2023 , bUyEr_352 
 c1353, 01 JAn 1970, 2022/10/18,  bUyER_353 
c1354  ,"jaN 01, 1970",12 jan 2022 ,bUyEr_354
C1355,01/01/1970 ,06-16-2022 ,BUYEr_355
  C1356 , 1970-01-01,2022/05/06,bUYEr_356
c1357, 1970/01/01,24 seP 2022,Buyer_357
c1358, 01 jaN 1970,05-07-2023, BUYEr_358  
 c1359 ,01 jaN 1970 ,2022-05-09,buyEr_359
C1360, 1970-01-01 , 2022-19-01,bUyeR_360 
 C1361,"JAN 01, 1970",12 DEC 2022,  Buyer_361
C1362  ," jAn 01, 1970 ", 2023/03/09 ,buyER_362 
C1363 ,01 JAn 1970 ,"Apr 06, 2023",BUYER_363
c1364,1970-01-01,2023-20-03,BuYEr_364 
 C1365,01/01/1970,2022/06/22, buYEr_365
 c1366, 1970-01-01 ,07 AuG 2023, buYER_366 
C1367 ,1970-01-01,06 aPr 2023, bUYER_367 
 c1368 ,1970/01/01, 2023/09/17,BuYEr_368 
c1369,01-01-1970,14/03/2022,  buyeR_369
c1370, 01/01/1970,14 JUN 2023, bUyeR_370 
 c1371, 1970/01/01,07-18-2022, BuYer_371
c1372 ,1970-01-01,01 APR 2022,BUYer_372 
 C1373 ,1970-01-01,2023/04/12 ,  BUYER_373
c1374 ,"jAN 01, 1970 ","NoV 29, 2022", BUYeR_374
 c1375  ,01/01/1970,2022-17-04, BuYeR_375
 C1376 ,01 jaN 1970 ,02/01/2023,BuyeR_376
 c1377 ,1970-01-01 ,20 apr 2023 , BuYeR_377
C1378 , 01/01/1970, 14/04/2023,buyER_378
  C1379, 1970-01-01,2023-08-01 , bUYer_379 
  c1380, 01-01-1970 ,2022/06/24 ,buYeR_380 
c1381, 1970/01/01,2022/04/11, BUyer_381  
  C1382 ,01/01/1970,2023-28-10,BuyER_382
c1383  , 01-01-1970 ,07 FeB 2022,buYEr_383
C1384 ,01/01/1970,"MaR 20, 2022",BuYeR_384
c1385,1970/01/01,11-18-2022,BuYeR_385
C1386,01/01/1970,04-12-2023, buYer_386
 C1387, 01/01/1970 ,2023-01-05,BuYER_387 
C1388,1970/01/01," jAn 22, 2022",buYER_388
 c1389,01-01-1970,16 jUn 2022,bUYER_389 
c1390 ,"jAn 01, 1970",2023/11/01, bUyEr_390
 c1391,01/01/1970,"aug 14, 2023",BuyEr_391 
c1392  ,1970/01/01 ,"auG 05, 2023 ", BUyer_392 
c1393 , 01 jAn 1970,2022-22-03, BUYEr_393
c1394,01-01-1970 ,2022-12-01,BuYer_394  
C1395 ,"JAn 01, 1970",22/12/2022,BuyER_395 
 C1396 , 01 JaN 1970, 09/02/2022 , buYEr_396
c1397,01 jaN 1970," FeB 25, 2022 ", BUYeR_397 
c1398 ,01-01-1970,2022/04/28, BuyEr_398 
 c1399,"jAn 01, 1970",09-20-2022 , bUyeR_399  
C1400 , 01-01-1970,02-08-2022 ,BuyER_400
  C1401 ,01/01/1970,13/01/2023 , BUYer_401
 c1402 ,01/01/1970, 06/08/2023 ,BuYer_402
 c1403 ,01 jan 1970," JuN 10, 2022 ",bUyeR_403 
  C1404,01 jAN 1970,"DEC 17, 2022 ",BUYeR_404
c1405,01 JAn 1970,03-20-2023,BuYEr_405
c1406 , 01-01-1970,03-26-2023, bUyeR_406
C1407  , 1970-01-01," jun 29, 2022",buYeR_407  
C1408, 01/01/1970,"oCt 05, 2023", BUYer_408
C1409, 1970/01/01 ,"SeP 15, 2022",bUyEr_409
 C1410 , 1970-01-01, 13/05/2023,buYer_410
c1411  ,1970/01/01 ,18/12/2022, bUYer_411 
C1412, 01-01-1970,"OCT 18, 2023", BuyER_412
 c1413 ,1970/01/01,06-16-2022 ,BUyEr_413
 c1414,"jaN 01, 1970 ",21/06/2022 ,bUyEr_414 
 C1415,01/01/1970,21 aPR 2022, BUYeR_415
c1416, 1970-01-01 , 15 nOV 2023 ,buYer_416
c1417,01 jAN 1970 ,13 JUn 2022 ,buYER_417 
 c1418,01 jan 1970,01 APR 2022, BUyeR_418  
c1419 ,1970-01-01,"OCT 07, 2023",bUYER_419  
 C1420,01-01-1970,20/07/2023,Buyer_420
 C1421 ,1970/01/01," maY 26, 2023 ",buyEr_421 
 C1422 , 01 JAN 1970 ,12/10/2023 ,bUyer_422 
c1423,1970/01/01,2023/07/22,BuYER_423
  C1424 ,1970-01-01 , 10-13-2022,  BUYeR_424
 C1425,1970/01/01, 21 Mar 2022,BUyEr_425
  c1426,1970/01/01,01-22-2023 ,Buyer_426 
 C1427 ,1970-01-01,30 JAN 2023,bUyER_427  
 C1428,01/01/1970,10-07-2023 ,buYEr_428  
  C1429 ,1970/01/01 ,"sEP 30, 2022",bUYER_429
 C1430, 01/01/1970,"JaN 31, 2022",BUyEr_430 
 C1431 ,01 jAN 1970,2023-16-10 , bUyER_431 
C1432,1970/01/01, 04-28-2023, bUyER_432
C1433 ,01 jAN 1970,"apR 01, 2022",BuYeR_433 
c1434,01/01/1970,18 JaN 2023,buyer_434
c1435,01-01-1970,"jUn 14, 2023",BUyer_435
 c1436 ,"jan 01, 1970",10-07-2022, buYEr_436
C1437 ,1970/01/01,26/08/2022,BuYEr_437  
 C1438 , 1970-01-01,07 nOV 2022,  buYer_438
c1439,01 Jan 1970,09/01/2023,BuyeR_439 
 C1440 , 1970-01-01, 2023-18-06 ,buyEr_440  
 C1441 ,01 Jan 1970 , 29/05/2022 ,  bUyEr_441
 c1442," Jan 01, 1970",2023/04/25,  BUYeR_442 
C1443,1970-01-01 ,10-26-2022,BuyeR_443
 C1444 ,01/01/1970,2023/04/25,buYER_444 
 c1445,1970/01/01 ,"jul 18, 2022 ",BuYeR_445
C1446  ,1970/01/01,"aUg 20, 2022 ",  BUYER_446 
c1447 ,01 JAn 1970 ,"Sep 29, 2022 ",  BUYER_447 
C1448 ,1970-01-01 ,2022/11/12, BUYeR_448 
 c1449 ,01/01/1970,06/04/2023,BuYER_449  
 C1450, 01/01/1970,"AuG 16, 2023 ",BUyER_450 
c1451,01-01-1970,30/01/2023,buYer_451
  C1452  ,1970/01/01,2023-05-12 , bUYER_452
 c1453 ,01/01/1970,27/12/2023 ,bUYeR_453 
C1454,01 Jan 1970,03/09/2022,buyeR_454
